Keypoint,Variance
2158,0.0273105
587,0.0273958
1879,0.0274656
1972,0.027762
2083,0.0283059
2097,0.0283376
380,0.0285921
379,0.0285921
1518,0.0286914
1017,0.0287589
1018,0.0287589
1523,0.0289905
823,0.029263
314,0.0293038
1935,0.0294406
2112,0.0299079
237,0.0302396
354,0.0302438
353,0.0302438
2059,0.030641
1656,0.0308541
1657,0.0308541
1967,0.030906
2007,0.0310243
964,0.0312844
1764,0.0313898
1833,0.0315447
337,0.0316511
143,0.0319554
1806,0.0320071
2045,0.0325839
14,0.0327764
1580,0.0334035
1467,0.0335486
1725,0.03365
1334,0.0337505
325,0.0341757
1404,0.03469
1319,0.0349114
281,0.0350775
985,0.0351256
1930,0.0351324
650,0.0351363
1654,0.0351901
745,0.0353401
1945,0.0354338
1575,0.0356646
414,0.035965
285,0.0363459
1317,0.0368004
100,0.0369337
1480,0.0369537
1481,0.0369537
2024,0.0371257
1188,0.0373668
1540,0.0374318
1917,0.0377069
1567,0.0378483
1950,0.0387893
1759,0.0390368
1134,0.0391932
296,0.0392401
674,0.0392543
675,0.0392543
494,0.0392603
2239,0.0394285
666,0.0394304
709,0.0397336
1309,0.0397726
1482,0.039958
754,0.0404204
1027,0.0404585
1709,0.0404594
1708,0.0404594
1677,0.0409734
547,0.0410152
1799,0.0411301
1015,0.0417016
1863,0.0417845
330,0.0420541
1192,0.0425191
1880,0.0426206
136,0.0426739
1780,0.0434408
239,0.0435741
1132,0.0436375
1077,0.0440625
1314,0.044105
2147,0.0442022
2204,0.0442858
2205,0.0442858
2206,0.0442858
1211,0.0443344
886,0.0447942
1706,0.0448666
1890,0.0448714
1295,0.0449255
2044,0.0449536
482,0.0453516
1052,0.0458727
1527,0.0459676
993,0.046566
1954,0.0466623
2178,0.0468872
447,0.0469833
1472,0.047443
1341,0.0475611
1137,0.0480357
2270,0.0480941
1951,0.0483755
753,0.048407
160,0.0484498
1344,0.0495683
2198,0.0498572
2214,0.0500965
37,0.0503507
153,0.0505339
572,0.0505873
1564,0.050861
1544,0.0512817
2210,0.0523936
1734,0.0532365
1651,0.0534945
941,0.0541754
536,0.0546543
2103,0.0553314
2047,0.0556422
510,0.0564244
511,0.0564244
1635,0.0568716
1665,0.0574982
1859,0.0582491
1727,0.0608416
776,0.0624003
348,0.0630819
503,0.0638254
1813,0.0640732
2233,0.0641839
2251,0.0644155
332,0.0645139
1838,0.0645912
1620,0.0646108
1936,0.0646422
798,0.0663868
2107,0.0666774
1644,0.0667059
1645,0.0667059
313,0.0671593
1129,0.067736
909,0.0679044
2037,0.0684198
2085,0.0687027
655,0.0690463
2048,0.0691713
242,0.0694724
2111,0.0704636
324,0.0707903
867,0.0713344
1817,0.0720081
1187,0.072106
660,0.0724007
1893,0.0727126
2180,0.0728004
308,0.0731915
1788,0.0740091
713,0.0743035
2028,0.0743402
2279,0.0743958
1494,0.0745547
452,0.0745855
1815,0.0754947
2148,0.0759753
821,0.0763059
150,0.077069
2122,0.0775469
688,0.0791196
1342,0.0791896
1227,0.0792499
1828,0.0792551
1133,0.0793179
1623,0.0793676
1244,0.0804624
1245,0.0804624
1869,0.0805281
1279,0.0807508
395,0.0808819
1139,0.0811639
1140,0.0811639
1183,0.0814566
526,0.0823147
2172,0.0834353
949,0.0836013
963,0.0841124
2096,0.0847272
1866,0.0853716
1768,0.0856224
1862,0.0856249
1886,0.0857056
458,0.0864931
2181,0.0875711
1573,0.0880797
1451,0.0883692
1485,0.0894524
442,0.0896887
370,0.0896916
2033,0.0907971
27,0.0911712
687,0.091678
1590,0.0918434
2115,0.0921291
1555,0.0925795
1554,0.093181
2259,0.0947076
2258,0.0947076
290,0.0959382
2154,0.0962503
1435,0.0976984
318,0.0978116
829,0.0980203
1064,0.0990129
2053,0.0992749
1614,0.0999366
1980,0.100806
2026,0.10183
544,0.103427
1625,0.103683
1412,0.103756
