KeypointIndex,FrameIndex,X,Y,Variance
407,0,532.547,1025.44,0.00989411
407,1,532.509,1025.46,0.00989411
407,2,532.53,1025.46,0.00989411
407,3,532.418,1025.65,0.00989411
408,0,532.547,1025.44,0.00989411
408,1,532.509,1025.46,0.00989411
408,2,532.53,1025.46,0.00989411
408,3,532.418,1025.65,0.00989411
410,0,537.339,343.372,0.26999
410,1,537.328,342.733,0.26999
410,2,537.454,342.118,0.26999
410,3,537.375,342.125,0.26999
414,0,534.981,990.096,0.035965
414,1,535.17,990.425,0.035965
415,0,537.162,689.879,0.127046
415,1,536.937,690.184,0.127046
415,2,537.214,690.249,0.127046
415,3,536.827,690.767,0.127046
416,0,558.135,909.326,0.716656
416,1,558.605,907.801,0.716656
416,2,558.675,907.458,0.716656
417,0,542.461,137.274,0.686946
417,1,543.166,137.631,0.686946
417,2,541.87,136.68,0.686946
417,3,541.453,136.283,0.686946
418,0,542.461,137.274,0.156048
418,1,543.166,137.631,0.156048
421,0,536.663,1034.2,147147
421,1,536.592,1034.5,147147
421,2,1009.43,372.067,147147
423,0,315.826,892.28,255200
423,1,1179.73,368.383,255200
427,0,538.893,798.826,54.4776
427,1,550.254,785.851,54.4776
427,2,539.353,798.187,54.4776
427,3,538.797,798.907,54.4776
438,0,544.669,834.934,0.0165387
438,1,544.456,834.791,0.0165387
441,0,544.086,721.132,1757.06
441,1,544.208,721.013,1757.06
441,2,541.177,632.202,1757.06
442,0,422.063,942.471,0.0896887
442,1,421.811,943.014,0.0896887
447,0,549.087,609.677,0.0469833
447,1,548.904,609.665,0.0469833
447,2,548.767,609.646,0.0469833
447,3,548.919,609.237,0.0469833
449,0,549.046,1043.32,16124.5
449,1,549.044,1043.55,16124.5
449,2,549.018,1043.46,16124.5
449,3,255.988,1032.48,16124.5
451,0,549.201,708.558,4899.07
451,1,628.971,559.874,4899.07
451,2,629.141,559.646,4899.07
451,3,576.692,598.568,4899.07
452,0,550.77,755.394,0.0745855
452,1,550.377,755.774,0.0745855
453,0,550.77,755.394,0.329181
453,1,551.612,755.531,0.329181
453,2,551.682,755.442,0.329181
453,3,550.377,755.774,0.329181
455,0,556.204,107.602,0.0163681
455,1,556.184,107.347,0.0163681
458,0,1083.9,956.922,0.0864931
458,1,1084.4,956.608,0.0864931
459,0,552.709,771.965,0.116266
459,1,553.323,771.668,0.116266
459,2,552.94,772.227,0.116266
463,0,559.042,349.824,0.021046
463,1,558.815,349.92,0.021046
463,2,558.754,349.911,0.021046
463,3,558.663,349.874,0.021046
467,0,557.742,982.316,0.0117188
467,1,557.578,982.175,0.0117188
468,0,557.742,982.316,0.0252091
468,1,557.578,982.175,0.0252091
468,2,557.383,982.288,0.0252091
473,0,562.79,679.486,0.0252427
473,1,562.754,679.394,0.0252427
473,2,562.831,679.761,0.0252427
476,0,563.287,933.754,0.170176
476,1,562.905,934.353,0.170176
476,2,562.911,934.647,0.170176
480,0,913.71,1027.59,192296
480,1,434.097,293.317,192296
482,0,565.137,633.401,0.0453516
482,1,564.859,633.602,0.0453516
482,2,565.173,633.231,0.0453516
482,3,565.164,633.167,0.0453516
483,0,572.764,95.1476,3.52719
483,1,569.434,92.4646,3.52719
483,2,569.261,92.3221,3.52719
483,3,569.572,92.403,3.52719
487,0,509.56,969.967,25171.1
487,1,826.503,985.18,25171.1
488,0,567.414,969.014,0.0205954
488,1,567.257,968.859,0.0205954
488,2,567.495,968.761,0.0205954
493,0,572.762,346.447,86473.9
493,1,989.717,760.504,86473.9
493,2,989.719,760.503,86473.9
493,3,572.707,345.055,86473.9
494,0,627.472,102.919,0.0392603
494,1,627.583,103.3,0.0392603
497,0,573.174,724.895,0.538701
497,1,572.617,725.282,0.538701
497,2,572.57,725.392,0.538701
497,3,571.968,726.501,0.538701
498,0,573.174,724.895,0.538701
498,1,572.617,725.282,0.538701
498,2,572.57,725.392,0.538701
498,3,571.968,726.501,0.538701
499,0,572.724,911.715,0.00767197
499,1,572.715,911.57,0.00767197
499,2,572.649,911.777,0.00767197
499,3,572.759,911.64,0.00767197
503,0,575.856,889.157,0.0638254
503,1,575.529,889.684,0.0638254
503,2,575.91,889.212,0.0638254
503,3,575.72,889.386,0.0638254
505,0,580.697,74.2841,283895
505,1,1591.61,578.819,283895
505,2,580.052,73.5431,283895
507,0,582.13,82.2906,0.20167
507,1,582.923,82.1956,0.20167
507,2,583.197,82.2002,0.20167
507,3,582.988,81.7896,0.20167
510,0,587.042,275.127,0.0564244
510,1,586.921,274.898,0.0564244
510,2,586.669,274.821,0.0564244
510,3,586.535,274.812,0.0564244
